"Job Title","Salary","Location","Job Posted","Job Description"
"IT Systems Engineer","£TBC","Aberdeenshire","3 December","The IT Systems Engineer will work as a member of the ACE Winches IT team supporting the business across all applications currently in production/use. Aid the analysis and resolution of break-fix issues for designated systems; at..."
"HR Advisor","£27,000 - £28,000","Glasgow","3 December","HR Advisor Lanarkshire Permanent, Full Time 27,000 - 28,000 Iconic Resourcing HR are working with an award winning organisation to recruit an HR Advisor to join their ever growing Lanarkshire based..."
".Net Developer Edinburgh City Centre","","Edinburgh","3 December","Would you like to start your new year with an opportunity to work for a company that has been voted one of the top 10 employers in the UK? You would be starting your new position in their new office based 1 minute away from an..."
"INVESTMENT RISK ASSISTANT","","Edinburgh","3 December","Job description: Are you looking to develop your career within Investment Risk? Core Asset Consulting's client a leading asset management firm is looking for an Investment Risk Assistant to join their team..."
"Production / Dispensing Operative - Glasgow","Competitive","Glasgow","3 December","Overview Production / Dispensing Operative - Competitive Salary and Benefits - Leading biotech company in Glasgow As a result of their continued success and expansion my client are looking to hire 2 Production / Dispensing..."
"Senior Software Engineer (Java)","","Edinburgh","3 December","Senior Software Engineer (Java) x 2 A fantastic opportunity for a Senior Software Engineer to join my client who are a leading company based in Edinburgh. This is a key technical role for my client which is vital for..."
"Software Engineer (Platforms)","","Edinburgh","3 December","Software Engineer (Platforms) A fantastic opportunity has arisen for a Software Engineer to join a leading provider of network security solutions company based in central Edinburgh..."
"Personnel Logistics Analyst / IT Business Analyst","Neg d.o.e","Aberdeen","3 December","Right People are working with one of the fastest growing IT companies within the North East. Our client are looking to recruit 2 Personnel Logistics Analysts's to join them in an exciting newly created role on either a..."
"Customer Assistant - 11 To 20 Hours, Peterhead","£9.00 with the ability to earn up to £10.10 per hour","Peterhead","3 December","The variety and pace that comes with every shift as a Customer Assistant at Lidl needs dedication and flexibility. Our stores are open Monday to Sunday so you'll need to be able to work weekends, as well as weekday shifts..."
"Internal Recruiter","","Edinburgh","3 December","Are you an experienced recruiter working within an agency looking for a new internal opportunity? Have you been working within internal recruitment for over 2 years and looking for a new opportunity working with an experienced..."
"Investment Risk Research Analyst","","Edinburgh","3 December","Job description: Do you have a keen interest in Investment Risk, along with an inquisitive, analytical, influencing mindset? Would you like to work in a role where you are responsible for multi-disciplinary research and..."
"Customer Service Agent","£17850","Glasgow","3 December","Are you looking for a full time, permanent Helpdesk role? Would you like to work for a friendly, ethical, established company that support their staff? Have you excellent customer service, call centre, helpdesk or office..."
"Healthcare Assistant","Free PVG, Uniform, Training","Edinburgh","3 December","Search Healthcare is seeking experienced Carers to work on a agency basis to provide the highest quality of care and support to our clients based in Edinburgh and the surrounding areas..."
"Desktop Consultant","£40,000 - £50,000","Edinburgh","3 December","Desktop Consultant - Permanent Edinburgh What will I be doing? You will be working with one of the largest Microsoft Gold Partner consultancy firms in Scotland, designing and building modern desktop solutions..."
"Employment Facilitator","Up to £21100 per annum","Edinburgh","3 December","Employment Facilitator Location: Edinburgh Hours: Full-Time, Permanent (working 37 hours a week) Salary: £21,100 Interviews will be held on Monday 16th December How Action for Children works Action for Children does..."
"Temporary HR Advisor","Up to £13.07 per hour","Edinburgh","3 December","Office Angels is now recruiting for a Temporary HR Advisor to join our lovely client in Edinburgh City Centre. This is a temporary role to start the 10th of December, paying £13.07..."
"Registered Nurse","Free PVG, Uniform, Training","Edinburgh","3 December","As a Registered Nurse you will have: * A nurse qualification (RGN/RMN) with a valid NMC pin number. * Previous experience working as a staff nurse or registered nurse in a care home environment is essential..."
"Support Worker","Free PVG, Uniform, Training","Fife","3 December","Search Consultancy is seeking experienced Support Workers to work on an agency basis to provide the highest quality of care and support to our clients based in Fife and the surrounding areas..."
"Volunteer Coordinator","£20,000 - £25,000","Scone","3 December","An exciting opportunity has arisen for an experienced Volunteer Coordinator to join Scotland's Charity Air Ambulance based at our base at Perth Airport, Scone. The post holder will lead on overseeing the day to day..."
"HOUSEKEEPER - IMMEDIATE START","","Aberdeen","3 December","Housekeeper required for IMMEDIATE start in Aberdeen - *company vehicle provided* You must have previous cleaning experience and be available immediately. You will be provided with a company vehicle, therefore must..."
"Senior Software Engineer","","Edinburgh","3 December","Senior Software Engineers (Node/React) A fantastic opportunity has arisen for an Engineer to join a leading financial services company based in Edinburgh. In this role you will be involved in coaching and mentoring less..."
"Class 1 Driver","£11 - £12 per hour","Grangemouth","3 December","Connect Driver Solutions are urgently recruiting for HGV 1 drivers for one of our blue chip clients in the West Lothian area. Our client is currently going through a period of growth and require an increase in the staffing..."
"Class 1 Driver","£11 - £12 per hour","Bathgate","3 December","Connect Driver Solutions are urgently recruiting for HGV 1 drivers for one of our blue chip clients in the West Lothian area. Our client is currently going through a period of growth and require an increase in the staffing..."
